field,coverage_pct,filled,total,missing
"governance.board_members[0].full_name.alternative_values",0.00,0,43,43
"governance.board_members[0].full_name.evidence_pages",0.00,0,43,43
"governance.board_members[0].full_name.extraction_method",0.00,0,43,43
"governance.board_members[0].full_name.extraction_timestamp",0.00,0,43,43
"governance.board_members[0].full_name.model_used",0.00,0,43,43
"governance.board_members[0].full_name.validation_status",0.00,0,43,43
"governance.board_members[0].is_employee_representative",0.00,0,43,43
"governance.board_members[0].term_end",0.00,0,43,43
"governance.board_members[0].term_start",0.00,0,43,43
"governance.board_size",0.00,0,43,43
"governance.board_term_years",0.00,0,43,43
"governance.bylaws_references",0.00,0,43,43
"governance.chairman",0.00,0,43,43
"governance.chairman.alternative_values",0.00,0,43,43
"governance.chairman.evidence_pages",0.00,0,43,43
"governance.chairman.extraction_method",0.00,0,43,43
"governance.chairman.extraction_timestamp",0.00,0,43,43
"governance.chairman.model_used",0.00,0,43,43
"governance.chairman.validation_status",0.00,0,43,43
"governance.deputy_auditor",0.00,0,43,43
"governance.extraordinary_meetings",0.00,0,43,43
"governance.nomination_committee.alternative_values",0.00,0,43,43
"governance.nomination_committee.evidence_pages",0.00,0,43,43
"governance.nomination_committee.extraction_method",0.00,0,43,43
"governance.nomination_committee.extraction_timestamp",0.00,0,43,43
"governance.nomination_committee.model_used",0.00,0,43,43
"governance.nomination_committee.validation_status",0.00,0,43,43
"governance.nomination_committee_details",0.00,0,43,43
"governance.primary_auditor",0.00,0,43,43
"governance.primary_auditor.certification",0.00,0,43,43
"governance.primary_auditor.contact_info",0.00,0,43,43
"governance.primary_auditor.firm",0.00,0,43,43
"governance.primary_auditor.firm.alternative_values",0.00,0,43,43
"governance.primary_auditor.firm.evidence_pages",0.00,0,43,43
"governance.primary_auditor.firm.extraction_method",0.00,0,43,43
"governance.primary_auditor.firm.extraction_timestamp",0.00,0,43,43
"governance.primary_auditor.firm.model_used",0.00,0,43,43
"governance.primary_auditor.firm.validation_status",0.00,0,43,43
"governance.primary_auditor.name.alternative_values",0.00,0,43,43
"governance.primary_auditor.name.evidence_pages",0.00,0,43,43
"governance.primary_auditor.name.extraction_method",0.00,0,43,43
"governance.primary_auditor.name.extraction_timestamp",0.00,0,43,43
"governance.primary_auditor.name.model_used",0.00,0,43,43
"governance.primary_auditor.name.validation_status",0.00,0,43,43
"governance.stadgar_last_updated",0.00,0,43,43
"governance.vice_chairman",0.00,0,43,43
"loans[0].amortization_schedule",0.00,0,43,43
"loans[0].collateral",0.00,0,43,43
"loans[0].covenants",0.00,0,43,43
"loans[0].interest_rate",0.00,0,43,43
"loans[0].interest_rate.alternative_values",0.00,0,43,43
"loans[0].interest_rate.evidence_pages",0.00,0,43,43
"loans[0].interest_rate.extraction_method",0.00,0,43,43
"loans[0].interest_rate.extraction_timestamp",0.00,0,43,43
"loans[0].interest_rate.model_used",0.00,0,43,43
"loans[0].interest_rate.original_string",0.00,0,43,43
"loans[0].interest_rate.validation_status",0.00,0,43,43
"loans[0].interest_type",0.00,0,43,43
"loans[0].lender.alternative_values",0.00,0,43,43
"loans[0].lender.evidence_pages",0.00,0,43,43
"loans[0].lender.extraction_method",0.00,0,43,43
"loans[0].lender.extraction_timestamp",0.00,0,43,43
"loans[0].lender.model_used",0.00,0,43,43
"loans[0].lender.validation_status",0.00,0,43,43
"loans[0].loan_number",0.00,0,43,43
"loans[0].maturity_date",0.00,0,43,43
"loans[0].original_amount",0.00,0,43,43
"loans[0].outstanding_balance.alternative_values",0.00,0,43,43
"loans[0].outstanding_balance.evidence_pages",0.00,0,43,43
"loans[0].outstanding_balance.extraction_method",0.00,0,43,43
"loans[0].outstanding_balance.extraction_timestamp",0.00,0,43,43
"loans[0].outstanding_balance.model_used",0.00,0,43,43
"loans[0].outstanding_balance.original_string",0.00,0,43,43
"loans[0].outstanding_balance.validation_status",0.00,0,43,43
"metadata.brf_name.alternative_values",0.00,0,43,43
"metadata.brf_name.extraction_method",0.00,0,43,43
"metadata.brf_name.extraction_timestamp",0.00,0,43,43
"metadata.brf_name.model_used",0.00,0,43,43
"metadata.brf_name.validation_status",0.00,0,43,43
"metadata.fiscal_year.alternative_values",0.00,0,43,43
"metadata.fiscal_year.extraction_method",0.00,0,43,43
"metadata.fiscal_year.extraction_timestamp",0.00,0,43,43
"metadata.fiscal_year.model_used",0.00,0,43,43
"metadata.fiscal_year.original_string",0.00,0,43,43
"metadata.fiscal_year.validation_status",0.00,0,43,43
"metadata.ocr_confidence",0.00,0,43,43
"metadata.organization_number.alternative_values",0.00,0,43,43
"metadata.organization_number.extraction_method",0.00,0,43,43
"metadata.organization_number.extraction_timestamp",0.00,0,43,43
"metadata.organization_number.model_used",0.00,0,43,43
"metadata.organization_number.validation_status",0.00,0,43,43
"metadata.report_date",0.00,0,43,43
"multi_year_overview",0.00,0,43,43
"notes",0.00,0,43,43
"notes.additional_notes",0.00,0,43,43
"notes.note_10_cash",0.00,0,43,43
"notes.note_11_equity",0.00,0,43,43
"notes.note_12_liabilities",0.00,0,43,43
"notes.note_13_contingencies",0.00,0,43,43
"notes.note_14_pledged_assets",0.00,0,43,43
"notes.note_15_related_parties",0.00,0,43,43
"notes.note_1_accounting_principles",0.00,0,43,43
"notes.note_2_revenue",0.00,0,43,43
"notes.note_3_personnel",0.00,0,43,43
